Value	Price	Square_Footage	Number_Bedrooms
1.193700000e+002	1.218700000e+002	2.050000000e+001	4.000000000e+000
1.489300000e+002	1.502500000e+002	2.200000000e+001	4.000000000e+000
1.303900000e+002	1.227800000e+002	1.590000000e+001	3.000000000e+000
1.357000000e+002	1.443500000e+002	1.860000000e+001	3.000000000e+000
1.263000000e+002	1.162000000e+002	1.210000000e+001	2.000000000e+000
1.370800000e+002	1.394900000e+002	1.710000000e+001	3.000000000e+000
1.234900000e+002	1.157300000e+002	1.670000000e+001	3.000000000e+000
1.508300000e+002	1.405900000e+002	1.780000000e+001	3.000000000e+000
1.234800000e+002	1.202900000e+002	1.520000000e+001	4.000000000e+000
1.320500000e+002	1.472500000e+002	1.830000000e+001	2.000000000e+000
1.482100000e+002	1.522600000e+002	1.700000000e+001	3.000000000e+000
1.395300000e+002	1.448000000e+002	1.720000000e+001	3.000000000e+000
1.143400000e+002	1.070600000e+002	1.670000000e+001	3.000000000e+000
1.400400000e+002	1.474700000e+002	1.650000000e+001	3.000000000e+000
1.360100000e+002	1.351200000e+002	1.610000000e+001	2.000000000e+000
1.409300000e+002	1.402400000e+002	1.570000000e+001	3.000000000e+000
1.324200000e+002	1.298900000e+002	1.650000000e+001	4.000000000e+000
1.183000000e+002	1.211400000e+002	1.640000000e+001	3.000000000e+000
1.221400000e+002	1.112300000e+002	1.420000000e+001	2.000000000e+000
1.498200000e+002	1.451400000e+002	2.070000000e+001	4.000000000e+000
1.289100000e+002	1.390100000e+002	1.610000000e+001	2.000000000e+000
1.346100000e+002	1.293400000e+002	1.910000000e+001	4.000000000e+000
1.219900000e+002	1.136100000e+002	1.410000000e+001	2.000000000e+000
1.505000000e+002	1.410500000e+002	1.860000000e+001	4.000000000e+000
1.428700000e+002	1.529000000e+002	1.990000000e+001	4.000000000e+000
1.555500000e+002	1.577900000e+002	2.270000000e+001	5.000000000e+000
1.285000000e+002	1.355700000e+002	1.970000000e+001	4.000000000e+000
1.433600000e+002	1.519900000e+002	1.820000000e+001	3.000000000e+000
1.196500000e+002	1.205300000e+002	1.650000000e+001	3.000000000e+000
1.225700000e+002	1.186400000e+002	1.470000000e+001	2.000000000e+000
1.452700000e+002	1.495100000e+002	1.850000000e+001	4.000000000e+000
1.497300000e+002	1.468600000e+002	2.170000000e+001	4.000000000e+000
1.477000000e+002	1.438800000e+002	1.930000000e+001	3.000000000e+000
1.175300000e+002	1.185200000e+002	1.380000000e+001	2.000000000e+000
1.401300000e+002	1.460700000e+002	1.810000000e+001	3.000000000e+000
1.365700000e+002	1.353500000e+002	1.760000000e+001	3.000000000e+000
